character_id,tag_code,file,width,height
470,36,image_0470.png,73,136
472,36,image_0472.png,73,136
475,36,image_0475.png,146,124
477,36,image_0477.png,146,124
479,36,image_0479.png,146,124
482,36,image_0482.png,149,126
484,36,image_0484.png,149,126
486,36,image_0486.png,149,126
489,36,image_0489.png,178,166
491,36,image_0491.png,178,166
493,36,image_0493.png,178,166
497,36,image_0497.png,183,162
499,36,image_0499.png,183,162
503,36,image_0503.png,189,271
505,36,image_0505.png,189,271
507,36,image_0507.png,189,271
509,36,image_0509.png,189,271
553,21,image_0553.jpg,40,40
556,21,image_0556.jpg,40,40
558,21,image_0558.jpg,40,40
578,21,image_0578.jpg,32,32
611,21,image_0611.jpg,32,32
614,21,image_0614.jpg,32,32
617,21,image_0617.jpg,32,32
620,21,image_0620.jpg,32,32
623,21,image_0623.jpg,32,32
629,6,image_0629.jpg,32,32
633,21,image_0633.jpg,32,32
698,21,image_0698.jpg,40,40
703,21,image_0703.jpg,40,40
708,21,image_0708.jpg,40,40
713,21,image_0713.jpg,40,40
718,21,image_0718.jpg,40,40
726,20,image_0726.png,40,40
738,21,image_0738.jpg,63,58
740,21,image_0740.jpg,63,61
742,21,image_0742.jpg,64,61
744,21,image_0744.jpg,64,58
746,21,image_0746.jpg,64,62
748,21,image_0748.jpg,64,62
750,21,image_0750.jpg,63,58
836,21,image_0836.jpg,64,64
838,21,image_0838.jpg,64,64
840,21,image_0840.jpg,64,64
842,21,image_0842.jpg,128,128
844,21,image_0844.jpg,64,64
846,21,image_0846.jpg,64,64
848,21,image_0848.jpg,64,64
850,21,image_0850.jpg,64,64
852,21,image_0852.jpg,64,64
854,21,image_0854.jpg,64,64
856,21,image_0856.jpg,64,64
858,21,image_0858.jpg,64,64
860,21,image_0860.jpg,64,64
862,21,image_0862.jpg,64,64
864,21,image_0864.jpg,64,64
866,21,image_0866.jpg,64,62
868,21,image_0868.jpg,128,128
870,21,image_0870.jpg,128,128
872,21,image_0872.jpg,64,64
875,21,image_0875.jpg,64,64
1040,21,image_1040.jpg,701,547
1057,36,image_1057.png,32,32
1059,36,image_1059.png,32,32
1061,36,image_1061.png,32,32
1063,36,image_1063.png,32,32
1066,21,image_1066.jpg,700,550
1072,36,image_1072.png,101,132
1076,36,image_1076.png,58,111
1086,36,image_1086.png,66,130
1091,21,image_1091.jpg,700,550
1097,21,image_1097.jpg,700,550
1101,36,image_1101.png,51,70
1104,36,image_1104.png,46,70
1106,36,image_1106.png,46,70
1108,36,image_1108.png,51,70
1110,36,image_1110.png,55,70
1114,21,image_1114.jpg,700,550
1123,36,image_1123.png,91,92
1126,36,image_1126.png,55,108
1130,36,image_1130.png,51,111
1134,36,image_1134.png,54,111
1138,36,image_1138.png,32,116
1142,36,image_1142.png,52,115
1147,36,image_1147.png,52,102
1151,36,image_1151.png,39,108
1156,36,image_1156.png,52,114
1171,36,image_1171.png,42,130
1175,21,image_1175.jpg,700,550
1177,36,image_1177.png,67,173
1191,36,image_1191.png,79,150
1197,36,image_1197.png,177,119
1198,36,image_1198.png,184,146
1201,36,image_1201.png,79,136
1203,36,image_1203.png,79,136
1213,36,image_1213.png,100,100
1215,36,image_1215.png,100,100
1217,36,image_1217.png,100,100
1219,36,image_1219.png,100,100
1226,21,image_1226.jpg,700,550
1231,36,image_1231.png,125,232
1236,21,image_1236.jpg,700,550
1242,21,image_1242.jpg,700,550
1252,21,image_1252.jpg,700,550
1262,21,image_1262.jpg,700,550
1268,21,image_1268.jpg,700,550
1271,21,image_1271.jpg,700,550
1276,21,image_1276.jpg,700,550
1278,21,image_1278.jpg,700,550
1281,21,image_1281.jpg,700,550
1287,21,image_1287.jpg,700,550
1292,21,image_1292.jpg,700,550
1294,21,image_1294.jpg,700,550
1297,21,image_1297.jpg,700,550
1299,21,image_1299.jpg,700,550
